Agency - Agency,Commodity - Commodity,Supplier - Common Supplier,Ordered Date,PO #,PO amount
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),"LA CLINICA DEL PUEBLO, INC.",27-Feb-15,PO505255-V2,"106,316.12"
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),Breast Care for Washington,6-Nov-14,PO509725,"50,000.00"
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),DC BREASTFEEDING COALITION,25-Feb-15,PO507075-V2,"30,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",Nicole Herd,22-Oct-14,PO507926,"5,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",TIMOTHY TATE,22-Oct-14,PO507938,"10,000.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9242073:SCORING OF G.E.D. ESSAYS,"Richard L. Patterson, Jr.",23-Oct-14,PO508137,"2,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9241900:Educational Research Services,WILDFIRE CONTACT LLC,24-Feb-15,PO516024,969
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4852510:CLEANER, TILE AND GROUT",General Merchandise Supplies,9-Oct-14,PO506826,166.84
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",BSN SPORTS,24-Dec-14,PO513354,42.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6008046:INK CARTRIDGE, FOAM PAD, PRE-INKED, CARTRIDGE, FOR MAIL MACHINE",Capital Services and Supplies,26-Nov-14,PO511419,167.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151520:BOOKS, FIGURING AND MULTICOLUMN, CLOTH COVERED STIFF COVERS, IMIT. LEATHER BACKS AND CORNERS, LEDGER PAPER",DEMCO INC,25-Nov-14,PO511258,19.62
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3051265:PAPER, REPRODUCTION TYPES",COMPROSYS,3-Dec-14,PO511874,108
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4850865:BOTTLE, SPRAY, PLASTIC, ROUND",General Merchandise Supplies,5-Nov-14,PO509388,206
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6152505:CLIPBOARDS, ACRYLIC",SCHOOL SPECIALTY,12-Dec-14,PO512627,27
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,2324500:Kits and Supplies: String and Wire Art,SCHOOL SPECIALTY,16-Jan-15,PO514302,4.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,21-Nov-14,PO511087,39.6
COUNCIL OF THE DISTRICT OF COLUMBIA,"9660722:PRINTING OF BUSINESS CARDS, ONE COLOR, WHITE SMOOTH FINISH PAPER","SENODA, INC.",10-Oct-14,PO506989,300
COUNCIL OF THE DISTRICT OF COLUMBIA,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",XEROX CORPORATION,10-Oct-14,PO506990,"20,000.00"
OFFICE ON AGING,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,Global Vision Technologies,25-Feb-15,PO507149-V2,"327,904.00"
DEPARTMENT OF PUBLIC WORKS,9687200:Snow and Ice Removal Services,J.N. Newman Trucking L.L.C.,24-Oct-14,PO508373,"7,800.00"
DEPARTMENT OF PUBLIC WORKS,"9361400:Buildings and Structure Maintenance and Repair (Portable, Modular, Fabricated, Pre-Fabricated, etc.)",AS/R SYSTEMS INC,29-Oct-14,PO508771,"10,000.00"
DISTRICT DEPARTMENT OF THE ENVIRONMENT,9264200:Environmental Services (Not Otherwise Classified),"ALLIANCE FOR CHESAPEAKE BAY, I",12-Nov-14,PO510048,"75,000.00"
DEPARTMENT OF GENERAL SERVICES,9108250:ELECTRICAL MAINTENANCE AND REPAIR SERVICES,Savage Technical Services,19-Dec-14,PO513101,"100,000.00"
PUBLIC EMPLOYEE RELATIONS BOARD,"6003850:COPIERS, COLOR, NEW",COMMONWEALTH DIGITAL OFFICE,16-Oct-14,PO507465,"5,631.36"
DEPT OF SMALL & LOCAL BUSINESS DEVELOPMT,9614400:Industrial Development and Planning Services,Deanwood Heights Main Streets,23-Oct-14,PO506003,"125,000.00"
OFFICE OF HUMAN RIGHTS,9186300:Housing Consulting,THE EQUAL RIGHTS CENTER,8-Dec-14,PO512192,"7,333.00"
DEPARTMENT OF FORENSICS SCIENCES,9614000:Forensic Services,THE HAMILTON GROUP,11-Feb-15,PO515539,"10,500.00"
COUNCIL OF THE DISTRICT OF COLUMBIA,"9157525:TELEPHONE SERVICE, CELLULAR",VERIZON,7-Oct-14,PO506419,"7,500.00"
DEPARTMENT OF FORENSICS SCIENCES,"9386300:Laboratory Equipment and Accessories: Specialized, Biochemistry, Biology, Chemistry, etc., Maintenance and Repair",FOSTER AND FREEMAN USA,23-Feb-15,PO515981,"1,040.00"
DEPARTMENT OF MOTOR VEHICLES,"2045457:MICROCOMPUTERS, NOTEBOOK",Dell Computer Corp.,23-Dec-14,PO513292,227.4
DISTRICT DEPARTMENT OF THE ENVIRONMENT,9264200:Environmental Services (Not Otherwise Classified),"BIOHABITATS, INC.",28-Oct-14,PO508450-V2,0
DISTRICT DEPARTMENT OF THE ENVIRONMENT,9625800:Professional Services (Not Otherwise Classified),Barbara Alexander,27-Jan-15,PO514674,"17,000.00"
DISTRICT DEPARTMENT OF THE ENVIRONMENT,9625800:Professional Services (Not Otherwise Classified),UNITED PLANNING ORGANIZATION,4-Feb-15,PO515127,"129,629.51"
DEPARTMENT OF GENERAL SERVICES,"9391800:Clocks, Timers, Watches, and Jewelers' and Watchmakers' Tools and Equipment Maintenance and Repair (Including Programming Timers, etc.)","TOUCH MEDIA SYSTEMS, LLC",9-Jan-15,PO508200-V2,"200,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","Networking For Future, Inc.",24-Nov-14,PO511178,"136,940.38"
SPECIAL EDUCATION TRANSPORTATION,"0708037:TRAILERS, FUEL TANKER","WILLIAMS SCOTSMAN, INC",8-Oct-14,PO506667,"151,089.24"
CHILD AND FAMILY SERVICES AGENCY,9524300:Family and Social Services (Including Shopping and Buying Services),CENTER FOR THE STUDY,9-Oct-14,PO506759,"668,190.00"
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",Germanna Community College,9-Dec-14,PO512281,"2,030.00"
OFFICE OF THE ATTORNEY GENERAL,"9392741:COPY MACHINE MAINTENANCE AND REPAIR, ENGINEERING","MVS, Inc.",11-Dec-14,PO512542,690
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEAL R GROSS & CO INC,8-Oct-14,PO506658,125
OFFICE OF THE ATTORNEY GENERAL,9187500:Management Consulting,WEST PUBLISHING CORP,14-Nov-14,PO510324,"9,548.99"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"OLENDER REPORTING, INC.",10-Feb-15,PO512489-V2,46.25
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9392152:MAINTENANCE, MAINFRAME COMPUTER HARDWARE",Dell Computer Corp.,6-Oct-14,PO506276,216.61
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","HIRERIGHT, INC.",3-Oct-14,PO506017,"8,000.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9189500:Telecommunications Consulting,"SAIC, Inc.",30-Oct-14,PO497470-V3,"92,194.85"
DEPARTMENT OF EMPLOYMENT SERVICES,"6153301:ACCESSORIES, DESK",MDM Office Systems DBA Standard Office Supply,5-Dec-14,PO512161,270
DEPARTMENT OF EMPLOYMENT SERVICES,"6003850:COPIERS, COLOR, NEW",XEROX CORPORATION,11-Feb-15,PO515510,"7,460.64"
DEPARTMENT OF BEHAVIORAL HEALTH,9103957:JANITORIAL/CUSTODIAL SERVICES,CLEAN TEAM JANITORIAL SVCS,10-Nov-14,PO505862-V2,"10,769.75"
DEPARTMENT OF BEHAVIORAL HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),HILLCREST CHILDREN'S CENTER,6-Oct-14,PO506206,"20,000.00"
DEPARTMENT OF YOUTH REHABILITATION SVCS,RENTAL OF PARKING SPACES,CURTIS PROPERTY MGMT CORP,16-Dec-14,PO512796,"5,100.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"2045446:MICROCOMPUTERS, LAPTOP",Dell Computer Corp.,31-Dec-14,PO513615,831.01
DEPARTMENT OF BEHAVIORAL HEALTH,9183800:Education and Training Consulting,CONSUMER ACTION NETWORK,1-Oct-14,PO505806,"37,486.80"
OFFICE OF THE SECRETARY,9625800:Professional Services (Not Otherwise Classified),"APPX Software, Inc.",19-Dec-14,PO513213,"22,570.00"
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",RR Donnelly,10-Dec-14,PO512371,"69,600.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",CAPITOL HILL SUPPORTIVE SVCS,5-Nov-14,PO509455,"18,756.00"
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",LIMBIC SYSTEMS INC,6-Nov-14,PO506258-V2,"575,349.75"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",THE WASHINGTON BALLET,6-Nov-14,PO508987,"70,000.00"
FIRE AND EMERGENCY MEDICAL SERVICES,9461000:Accounting and Billing Services (Including Payroll Services),Advanced Data Processing Inc.,4-Feb-15,PO515087,"980,000.00"
D.C. DEPARTMENT OF HUMAN RESOURCES,"9241800:Educational Services, Alternative",TAI PEDRO & ASSOCIATES P C,14-Nov-14,PO510313,"99,000.00"
DC PUBLIC LIBRARY,9061000:Buildings - Architectural Design,Whiting-Turner Contracting Co,20-Oct-14,PO386599-V5,"227,698.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,"KAPLAN COMPANIES, INC.",20-Feb-15,PO510178-V2,23.64
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0703615:SCHOOL BUSES, SMALL",CAPITOL ENTERTAINMENT,28-Jan-15,PO514733,"1,150.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",ILENE SPARBER,20-Jan-15,PO514355,"16,960.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,8053900:Bowling Equipment,THE PROPHET CORPORATION,14-Nov-14,PO510357,177.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4506450:MATS AND MATTING, RECYCLED, RUBBER",AMERICAN EXPRESS COMPANY,3-Dec-14,PO511916,"8,792.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9241900:Educational Research Services,SCHOOL SPECIALTY,29-Oct-14,PO508811,50.98
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",GREAT AMERICAN CORP,2-Dec-14,PO511797,15
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"HOLDERS, TRASH RECEPTACLE",General Merchandise Supplies,11-Dec-14,PO512471,148.65
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6002278:TONER, CARTRIDGE, CALCULATORS, ELECTRONIC, PRINTING",AMERICAN EXPRESS COMPANY,12-Feb-15,PO515565,"1,574.95"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",BO BOTTS,10-Feb-15,PO515365,150
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,4856500:Janitorial Equipment and Supplies (Not Otherwise Classified),General Merchandise Supplies,9-Oct-14,PO506896,474
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",CYNTHIA B KRESS,5-Dec-14,PO512146,21
METROPOLITAN POLICE DEPARTMENT,"6805300:Guns, Machine (Including Other Military Style Weapons)","Atlantic Tactical, Inc",25-Nov-14,PO511367,"22,740.10"
DEPARTMENT OF FORENSICS SCIENCES,"6208026:PENS, BALL POINT, RETRACTABLE, NON-REFILLABLE, PLASTIC BARREL",MDM Office Systems DBA Standard Office Supply,3-Mar-15,PO516404,"10,000.00"
OFFICE OF PEOPLE'S COUNSEL,9653049:LAYOUT AND GRAPHIC DESIGN SERVICES,"KCP Communications, Inc.",23-Oct-14,PO508208,"1,763.10"
DEPARTMENT OF PUBLIC WORKS,9520738:DRUG AND ALCOHOL SCREENING TESTS,"Metro Lab, LLC",12-Nov-14,PO510030,"15,000.00"
DEPARTMENT OF PUBLIC WORKS,9623900:Hauling Services,S&H TRUCKING COMPANY,8-Jan-15,PO507017-V2,"30,000.00"
EQUIPMENT LEASE - CAPITAL,"9989400:Vehicles, Including Automobiles, Trucks, Trailers, Vans, Motor Homes, Motorcycles and Scooters, etc. (See 998-20 for Buses)",GENERAL SERVICE ADMINISTRATION,23-Feb-15,PO514961-V2,"149,324.46"
ALCOHOLIC BEVERAGE REGULATION ADMIN.,"9616730:INTERPRETER, SIGN LANGUAGE",GRAHAM STAFFING SERVICES INC,7-Nov-14,PO509928,880
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,12-Nov-14,PO510071,323.82
DEPARTMENT OF GENERAL SERVICES,"9145000:Heating, Ventilating and Air Conditioning (HVAC)","Siemens Industry, Inc.",19-Feb-15,PO515825,"107,064.00"
DEPARTMENT OF GENERAL SERVICES,"9626941:PERSONNEL SERVICES, TEMPORARY",MIDTOWN PERSONNEL INC,19-Nov-14,PO510776,"198,125.60"
DEPARTMENT OF GENERAL SERVICES,9101317:ELEVATOR MAINTENANCE AND REPAIR SERVICES,American Elevator Inpection Se,31-Oct-14,PO509070,"50,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9619000:Writing Services, All Kinds (Including Resumes, Calligrapher/Engrosser Services)",BERT SMITH & COMPANY,28-Oct-14,PO487621-V3,"55,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9622400:Courier/Delivery Services (Including Air Courier Services),FEDERAL EXPRESS,22-Oct-14,PO484471-V2,"1,150.16"
DEPARTMENT OF GENERAL SERVICES,"6159546:WASTEBASKETS, PLASTIC",General Merchandise Supplies,9-Dec-14,PO512300,"26,333.50"
HOMELAND SECURITY/EMERGENCY MANAGEMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO511291,"47,500.00"
CHILD AND FAMILY SERVICES AGENCY,"2045327:COMPUTER SYSTEM (CPU, MONITOR, AND KEYBOARD)","SUPRETECH, INC.",14-Jan-15,PO514151,"11,027.79"
SPECIAL EDUCATION TRANSPORTATION,"9486452:NURSE STAFFING, SUPPLEMENTAL",NATIONAL NURSES SEVICES INC,27-Jan-15,PO514651,"504,424.32"
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",GRANTHAM UNIVERSITY,9-Dec-14,PO512278,"1,535.00"
D.C. NATIONAL GUARD,"2077983:TONER CARTRIDGES, LASER PRINTER, REMANUFACTURED",LASER ART INC,11-Dec-14,PO512502,75.08
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",8-Oct-14,PO506483,"3,737.72"
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,Capital Reporting Company,6-Oct-14,PO489312-V3,618.8
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9663600:Forms Printing (Not Continuous),"Shred Ace, Inc.",21-Oct-14,PO507796,"2,080.00"
OFFICE OF THE TENANT ADVOCATE,7154600:Legal Books and Publications,WEST PUBLISHING CORP,31-Oct-14,PO509073,"3,675.36"
DEPARTMENT OF BEHAVIORAL HEALTH,"9626941:PERSONNEL SERVICES, TEMPORARY",Ross Professional Services,22-Jan-15,PO506069-V3,"97,926.72"
DEPARTMENT OF CORRECTIONS,"2018693:UNDERWEAR, THERMAL, WOMEN'S, CIRCULAR KNIT, 50% POLYESTER, 50% COTTON",AMERICAN SUPPLY COMPANY,3-Nov-14,PO509178,169
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",FORT MYER CONSTRUCTION CORPORA,13-Feb-15,PO503373-V2,"223,692.30"
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),"LA CLINICA DEL PUEBLO, INC.",1-Oct-14,PO505386,"200,000.00"
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),Bosede Adeniji,23-Oct-14,PO508145,"39,424.00"
FIRE AND EMERGENCY MEDICAL SERVICES,"CLEANER, DISINFECTANT/DEODORIZER, AEROSOL",MDM Office Systems DBA Standard Office Supply,4-Feb-15,PO515133-V2,623
DC PUBLIC LIBRARY,"2086775:SOFTWARE, MICROCOMPUTER, SUBSCRIPTIONS",APPLE COMPUTER INC,20-Nov-14,PO510894,"1,194.00"
DC PUBLIC LIBRARY,"9362300:Door Automatic Operator Installation, Maintenance and Repair",DORMA USA,8-Oct-14,PO506599,"45,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PENS, EXECUTIVE MAGNUS, ROLLER BALL PEN WITH BLACK INK CARTRIDGE.",METROPOLITAN OFFICE PRODUCTS,11-Dec-14,PO512472,4.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857660:PAPER, WRITING, NEWS PRINT, FOR USE WITH PENCILS",LAKESHORE LEARNING MATERIALS,12-Feb-15,PO515572,246.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7257858:RADIOS, BASE STATION, TWO WAY, DESK TOP",TELTRONIC INC,10-Feb-15,PO515359,0
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4757321:BAGS, PLASTIC, HOT PACK",SCHOOL HEALTH CORPORATION,13-Feb-15,PO515658,28.24
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9180600:Administrative Consulting,INTAC INC,26-Nov-14,PO511508,299.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982400:Chemicals, All Types",WARD'S NATURAL SCIENCE,30-Dec-14,PO513597,97.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9628600:Transportation of Goods and other Freight Services,DALLAS MIDWEST LLC,12-Feb-15,PO515576,"1,050.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8056200:Physical Education Equipment, Adaptive: Body Alignment Wedges, Mobile Mats, Stimulation Boards, Straddle Seats, Vestibular Boards, etc.",NASCO,24-Dec-14,PO513365,53.1
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9246031:CLASSES, SEMINARS AND WORKSHOPS (NOT FOR CREDIT)",NAVIANCE INC.,16-Oct-14,PO507439,"2,025.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,MDM Office Systems DBA Standard Office Supply,17-Nov-14,PO510523,7.82
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School","Miles Away Charter, LLC",8-Oct-14,PO506738,850
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1406900:Mop Manufacturing Tools,General Merchandise Supplies,26-Nov-14,PO511446,127.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9674500:Janitorial Products Manufacturing Services,General Merchandise Supplies,26-Nov-14,PO511445,119.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9674500:Janitorial Products Manufacturing Services,General Merchandise Supplies,27-Feb-15,PO514998-V2,0
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",FOLLETT SCHOOL SOLUTIONS,24-Dec-14,PO513389,15.57
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9981800:Books, All Types (Library, School, etc.)",WILSON LANGUAGE TRAINING CORP.,13-Jan-15,PO514026,0
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,"MICROBURST LEARNING, LLC",29-Jan-15,PO514228,"65,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)","MAKERBOT INDUSTRIES, LLC",10-Feb-15,PO515370,43.2
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,19-Dec-14,PO512862,145
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",S&S WORLDWIDE INC.,15-Oct-14,PO507353,95.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)",AMERICAN EXPRESS COMPANY,1-Dec-14,PO511651,"12,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN","PRO-ED, INC",6-Nov-14,PO509669,54
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER","SCHOLASTIC, INC.",23-Dec-14,PO513348,"1,174.32"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",CYNTHIA B KRESS,5-Dec-14,PO512146,21
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,"GCS/SIGAL, LLC",13-Nov-14,PO510215,"9,350,000.00"
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,"GOEL SERVICES, INC.",14-Oct-14,PO507200,"350,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"6153100:Covers: Brief, Manuscript, Pressboard, Report, etc.",DOWNTOWN BID CORPORATION,20-Oct-14,PO497095-V3,"10,124.13"
CHILD AND FAMILY SERVICES AGENCY,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",PHILIP W LUCAS,21-Nov-14,PO510997,"20,000.00"
SPECIAL EDUCATION TRANSPORTATION,"0703615:SCHOOL BUSES, SMALL",GENERAL SERVICE ADMINISTRATION,18-Nov-14,PO490858-V4,"746,787.00"
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9612458:PROFESSIONAL COURT REPORTER SERVICES,NEAL R GROSS & CO INC,3-Dec-14,PO511890,"10,000.00"
D.C. NATIONAL GUARD,9986600:Mailing Equipment (Including Shipping Containers),ALL N' 1 MEDICAL SUPPLIES &,27-Jan-15,PO513714-V2,25
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","The Pittman Group, Inc DBA VANTIX",17-Nov-14,PO510333,"37,742.05"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","The Pittman Group, Inc DBA VANTIX",13-Nov-14,PO508875-V2,"3,550.20"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","Sun Management, Inc.",17-Oct-14,PO507537,686.22
METROPOLITAN POLICE DEPARTMENT,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",Neovera Inc.,4-Nov-14,PO509260,"189,996.00"
OFFICE OF POLICE COMPLAINTS,"9625900:Parking Services: Operation, Admission, Supervision","Park America, Inc.",16-Oct-14,PO507466,"12,480.00"
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK","CDW Government, Inc.",30-Jan-15,PO514947,180
DEPARTMENT OF GENERAL SERVICES,"9346400:Plumbing Equipment and Fixtures, Maintenance and Repair",A.H. JORDAN PLUMBING & MECHANI,19-Dec-14,PO509254-V2,"200,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"2555600:Tax Stamps (Other Than Cigarette and Liquor), Numbered and Un-Numbered",MEYERCORD REVENUE INC.,29-Oct-14,PO484962-V3,"50,175.00"
DEPARTMENT OF PUBLIC WORKS,"9980900:Automobile, Truck and Bus Parts and Equipment","Excel General Diesel, LLC",1-Oct-14,PO505846,"40,000.00"
CHILD AND FAMILY SERVICES AGENCY,9625800:Professional Services (Not Otherwise Classified),WASH METRO AREA TRANSIT AUTH,2-Dec-14,PO511828,"20,000.00"
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9625800:Professional Services (Not Otherwise Classified),ARCH DEVELOPMENT CORPORATION,17-Nov-14,PO510454,"369,878.41"
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",STRATFORD UNIVERSITY,6-Feb-15,PO515241,"1,679.96"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9392152:MAINTENANCE, MAINFRAME COMPUTER HARDWARE",Dell Computer Corp.,6-Oct-14,PO506276,"11,607.92"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,Dupont Computers,16-Dec-14,PO512825,"2,320.00"
DEPARTMENT OF EMPLOYMENT SERVICES,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",Advance Employee Intelligence,23-Jan-15,PO512665-V2,"11,852.50"
DEPARTMENT OF BEHAVIORAL HEALTH,9751440:AUTOMOBILE RENTAL OR LEASE SERVICES,GENERAL SERVICE ADMINISTRATION,20-Oct-14,PO507723,"5,088.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),RIVERSIDE TREATMENT SERVICES,1-Oct-14,PO505854,"50,000.00"
DEPARTMENT OF YOUTH REHABILITATION SVCS,9625800:Professional Services (Not Otherwise Classified),Global Vision Technologies,19-Feb-15,PO515833,"67,252.50"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"Robert Benedetti, PH.D.",26-Jan-15,PO505803-V3,"14,500.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"9529400:Transportation Services For the Elderly, Handicapped, Incapacitated, Prisoners, Juries, etc.",LIFESTAR RESPONSE OF MD INC.,1-Oct-14,PO505683-V2,"213,792.00"
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),Ivan Stevanovic,13-Jan-15,PO514054,"1,680.00"
DEPARTMENT OF PARKS AND RECREATION,"0373400:Decorations: Christmas, Party, etc.",THE HAMILTON GROUP,10-Dec-14,PO512374,13.26
